BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
041041009355,"РЕГИОНАЛЬНЫЙ ФИЛИАЛ ПО ПАСАЖИРСКИМ ПЕРЕВОЗКАМ ""ЮЖНЫЙ"" АКЦИОНЕРНОГО ОБЩЕСТВА ""ПАССАЖИРСКИЕ ПЕРЕВОЗКИ""",49100,"Пассажирский железнодорожный транспорт, междугородний",751510000,"г. Алматы, ЖЕТЫСУСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
041140005083,"ТОО ""КОМПАНИЯ ""NEO АЗИЯ""",47191,Прочая розничная торговля в неспециализированных магазинах,751910000,"г. Алматы, ТУРКСИБСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
041241012927,"АЛМАТИНСКИЙ ФИЛИАЛ ПО РЕМОНТУ ПАССАЖИРСКИХ ВАГОНОВ АКЦИОНЕРНОГО ОБЩЕСТВА ""ВАГОНСЕРВИС""",49100,"Пассажирский железнодорожный транспорт, междугородний",751510000,"г. Алматы, ЖЕТЫСУСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
050940008016,"ТОО ""SINOOIL""",46716,Оптовая торговля автомобильным бензином,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
051140000163,"ТОО ""КОРПОРАЦИЯ ""MAG""",42990,"Строительство прочих инженерных сооружений, не включенных в другие группировки",751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
060440002605,"ТОО ""RG BRANDS KAZAKHSTAN""",64200,Деятельность холдинговых компаний,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
060540006780,"ТОО ""ГРУП 4 СЕКУРИКОР КАЗАХСТАН""",80100,Деятельность частных охранных служб,751410000,"г. Алматы, БОСТАНДЫКСКИЙ РАЙОН",311,Крупная организация (от 1001 чел.)
060640001713,"АО ""АЛМАТИНСКИЕ ЭЛЕКТРИЧЕСКИЕ СТАНЦИИ""",35120,Передача электроэнергии,751710000,"г. Алматы, МЕДЕУСКИЙ РАЙОН",311,Крупная компания (от 1001 чел.)
060640007336,"ТОО ""АЛМАТИНСКИЕ ТЕПЛОВЫЕ СЕТИ""",35301,Производство тепловой энергии тепловыми сетями,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
060640010217,"ТОО ""GREEN HOUSE BEST"" (ГРИН ХАУЗ БЕСТ)",46909,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,751110000,"г. Алматы, АЛМАЛИНСКИЙ РАЙОН",311,Крупное предприятие (от 1001 чел.)
